Caltrans District,Route Number,Route Suffix,County,Postmile Prefix,Postmile Number,Postmile Suffix,Description of Location,Back Peak Hour,Back Peak Month,Back AADT,Ahead Peak Hour,Ahead Peak Month,Ahead AADT,Latitude,Longitude
12,1,,ORA,R,0.129,,"DANA POINT, JCT. RTE. 5",,,,3750,40000,37000,33.46705125,-117.6699099
12,1,,ORA,R,0.78,,"DANA POINT, DOHENY PARK ",3750,40000,37000,3950,42500,39000,33.46419038,-117.6789209
12,1,,ORA,,8.43,,"LAGUNA BEACH, MOUNTAIN",2850,38500,36000,2850,38500,36000,33.53175236,-117.7748639
12,1,,ORA,,9.418,,"LAGUNA BEACH, RTE. 133 N.",2850,38500,36000,3600,43000,40000,33.54273836,-117.7853185
12,1,,ORA,,9.6,,"LAGUNA BEACH, CLIFF/ ASTER ",3600,43000,40000,2800,33000,31000,33.54388958,-117.788323
12,1,,ORA,,11.5,,"LAGUNA BEACH, NORTH CITY ",2800,33000,31000,3000,36500,33500,33.55679371,-117.8164884
12,1,,ORA,R,18.073,,"NEWPORT BEACH, BAYSIDE ",3650,45000,41000,4550,56000,51000,33.61634883,-117.9009109
12,1,,ORA,R,18.446,,"NEWPORT BEACH, DOVER ",4550,56000,51000,4100,50000,46000,33.61624536,-117.907224
12,1,,ORA,,19.797,,"NEWPORT BEACH, RTE. 55",4100,50000,46000,4400,42500,40000,33.62127138,-117.9293255
12,1,,ORA,,20.37,,"NEWPORT BEACH, BALBOA ",4400,42500,40000,3550,34000,32000,33.62303601,-117.9392138
12,1,,ORA,,21.549,,SANTA ANA RIVER BRIDGE,3550,34000,32000,4300,41500,39000,33.63066656,-117.9565487
12,1,,ORA,,22.09,,"HUNTINGTON BEACH, BRKHURST",4300,41500,39000,3900,37500,35000,33.63531631,-117.9640634
12,1,,ORA,,23.739,,"HUNTINGTON BEACH, RTE. 39 N.",3900,37500,35000,4100,39500,37000,33.64864662,-117.9882006
12,1,,ORA,,25.89,,"HUNTINGTON BEACH, GOLDNWST ",4100,39500,37000,4000,38500,36000,33.66827106,-118.0172877
12,1,,ORA,,29.89,,"SUNSET BEACH, WARNER ",4000,38500,36000,4300,41500,39000,33.71162835,-118.0629818
12,1,,ORA,,32.721,,"SEAL BEACH, SEAL BEACH ",3950,43500,41000,3950,44000,41000,33.74088178,-118.095454
